Attributes
atom_atomtype[X,Y,Y] :  3.85819e+00 ; iterations: [ 3.85819e+00 ]
atom_charge[X,Y,Y]   :  1.22538e+00 ; iterations: [ 1.22538e+00 ]
sbond_1_atomid[X,Y,Y]:  6.85724e-01 ; iterations: [ 6.85724e-01 ]
atom_name[X,Y,Y]     :  5.36008e-01 ; iterations: [ 5.36008e-01 ]
atom_charge[Y,Y,Y]   :  4.45553e-01 ; iterations: [ 4.45553e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.94157e-01 ; iterations: [ 3.94157e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.30040e-01 ; iterations: [ 1.30040e-01 ]
atom_atomtype[Y,Y,Y] :  4.83902e-02 ; iterations: [ 4.83902e-02 ]
sbond_2_atomid[X,Y,Y]:  3.31031e-02 ; iterations: [ 3.31031e-02 ]
atom_name[Y,Y,Y]     :  3.31031e-02 ; iterations: [ 3.31031e-02 ]
sbond_7_atomid[X,Y,Y]:  2.11861e-02 ; iterations: [ 2.11861e-02 ]

Attributes summed
atom_atomtype        :  3.90658e+00 ; iterations: [ 3.90658e+00 ]
atom_charge          :  1.67093e+00 ; iterations: [ 1.67093e+00 ]
sbond_1_atomid       :  1.07988e+00 ; iterations: [ 1.07988e+00 ]
atom_name            :  5.69111e-01 ; iterations: [ 5.69111e-01 ]
sbond_2_atomid       :  1.63143e-01 ; iterations: [ 1.63143e-01 ]
sbond_7_atomid       :  2.11861e-02 ; iterations: [ 2.11861e-02 ]

Aggregators
count                :  3.82840e+00 ; iterations: [ 3.82840e+00 ]
sum                  :  1.27531e+00 ; iterations: [ 1.27531e+00 ]
projection2_mode     :  1.03066e+00 ; iterations: [ 1.03066e+00 ]
mode                 :  5.06213e-01 ; iterations: [ 5.06213e-01 ]
min                  :  4.92234e-01 ; iterations: [ 4.92234e-01 ]
projection0_mode     :  2.12167e-01 ; iterations: [ 2.12167e-01 ]
max                  :  6.58503e-02 ; iterations: [ 6.58503e-02 ]

