Attributes
atom_atomtype[X,Y,Y] :  5.40525e+00 ; iterations: [ 5.40525e+00 ]
atom_charge[X,Y,Y]   :  1.31328e+00 ; iterations: [ 1.31328e+00 ]
atom_charge[Y,Y,Y]   :  4.88660e-01 ; iterations: [ 4.88660e-01 ]
atom_name[X,Y,Y]     :  3.48916e-01 ; iterations: [ 3.48916e-01 ]
sbond_1_atomid[X,Y,Y]:  1.88277e-01 ; iterations: [ 1.88277e-01 ]
sbond_2_atomid[X,Y,Y]:  5.67481e-02 ; iterations: [ 5.67481e-02 ]
sbond_1_atomid[Y,Y,Y]:  4.82892e-02 ; iterations: [ 4.82892e-02 ]
sbond_7_atomid[Y,Y,Y]:  4.63629e-02 ; iterations: [ 4.63629e-02 ]
atom_atomtype[Y,Y,Y] :  3.02210e-02 ; iterations: [ 3.02210e-02 ]
sbond_7_atomid[X,Y,Y]:  2.51914e-02 ; iterations: [ 2.51914e-02 ]

Attributes summed
atom_atomtype        :  5.43547e+00 ; iterations: [ 5.43547e+00 ]
atom_charge          :  1.80194e+00 ; iterations: [ 1.80194e+00 ]
atom_name            :  3.48916e-01 ; iterations: [ 3.48916e-01 ]
sbond_1_atomid       :  2.36566e-01 ; iterations: [ 2.36566e-01 ]
sbond_7_atomid       :  7.15543e-02 ; iterations: [ 7.15543e-02 ]
sbond_2_atomid       :  5.67481e-02 ; iterations: [ 5.67481e-02 ]

Aggregators
count                :  4.66649e+00 ; iterations: [ 4.66649e+00 ]
sum                  :  9.61206e-01 ; iterations: [ 9.61206e-01 ]
min                  :  8.02769e-01 ; iterations: [ 8.02769e-01 ]
projection2_mode     :  7.30357e-01 ; iterations: [ 7.30357e-01 ]
mode                 :  6.02157e-01 ; iterations: [ 6.02157e-01 ]
max                  :  1.41858e-01 ; iterations: [ 1.41858e-01 ]
projection0_mode     :  4.63629e-02 ; iterations: [ 4.63629e-02 ]

