Attributes
atom_atomtype[X,Y,Y] :  4.73033e+00 ; iterations: [ 4.73033e+00 ]
sbond_1_atomid[X,Y,Y]:  5.96360e-01 ; iterations: [ 5.96360e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.21140e-01 ; iterations: [ 4.21140e-01 ]
atom_atomtype[Y,Y,Y] :  4.17121e-01 ; iterations: [ 4.17121e-01 ]
sbond_7_atomid[Y,Y,Y]:  3.11763e-01 ; iterations: [ 3.11763e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.74339e-01 ; iterations: [ 2.74339e-01 ]
atom_charge[X,Y,Y]   :  2.27002e-01 ; iterations: [ 2.27002e-01 ]
atom_charge[Y,Y,Y]   :  1.68678e-01 ; iterations: [ 1.68678e-01 ]
atom_name[X,Y,Y]     :  1.45528e-01 ; iterations: [ 1.45528e-01 ]
sbond_2_atomid[X,Y,Y]:  1.35027e-01 ; iterations: [ 1.35027e-01 ]
sbond_7_atomid[X,Y,Y]:  1.06255e-02 ; iterations: [ 1.06255e-02 ]

Attributes summed
atom_atomtype        :  5.14745e+00 ; iterations: [ 5.14745e+00 ]
sbond_1_atomid       :  1.01750e+00 ; iterations: [ 1.01750e+00 ]
sbond_2_atomid       :  4.09366e-01 ; iterations: [ 4.09366e-01 ]
atom_charge          :  3.95681e-01 ; iterations: [ 3.95681e-01 ]
sbond_7_atomid       :  3.22388e-01 ; iterations: [ 3.22388e-01 ]
atom_name            :  1.45528e-01 ; iterations: [ 1.45528e-01 ]

Aggregators
count                :  4.37407e+00 ; iterations: [ 4.37407e+00 ]
max                  :  6.95616e-01 ; iterations: [ 6.95616e-01 ]
sum                  :  5.49482e-01 ; iterations: [ 5.49482e-01 ]
projection0_mode     :  5.47344e-01 ; iterations: [ 5.47344e-01 ]
mode                 :  5.45084e-01 ; iterations: [ 5.45084e-01 ]
projection2_mode     :  5.10456e-01 ; iterations: [ 5.10456e-01 ]
min                  :  2.15868e-01 ; iterations: [ 2.15868e-01 ]

