Attributes
atom_atomtype[X,Y,Y] :  5.60704e+00 ; iterations: [ 5.60704e+00 ]
atom_charge[X,Y,Y]   :  6.76877e-01 ; iterations: [ 6.76877e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.86325e-01 ; iterations: [ 2.86325e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.85284e-01 ; iterations: [ 2.85284e-01 ]
sbond_1_atomid[X,Y,Y]:  2.69300e-01 ; iterations: [ 2.69300e-01 ]
atom_charge[Y,Y,Y]   :  2.01528e-01 ; iterations: [ 2.01528e-01 ]
sbond_2_atomid[X,Y,Y]:  1.72714e-01 ; iterations: [ 1.72714e-01 ]
atom_name[Y,Y,Y]     :  1.60000e-01 ; iterations: [ 1.60000e-01 ]
atom_atomtype[Y,Y,Y] :  1.33893e-01 ; iterations: [ 1.33893e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.15473e-01 ; iterations: [ 1.15473e-01 ]
atom_name[X,Y,Y]     :  2.48817e-02 ; iterations: [ 2.48817e-02 ]

Attributes summed
atom_atomtype        :  5.74093e+00 ; iterations: [ 5.74093e+00 ]
atom_charge          :  8.78404e-01 ; iterations: [ 8.78404e-01 ]
sbond_1_atomid       :  5.54584e-01 ; iterations: [ 5.54584e-01 ]
sbond_2_atomid       :  4.59039e-01 ; iterations: [ 4.59039e-01 ]
atom_name            :  1.84882e-01 ; iterations: [ 1.84882e-01 ]
sbond_7_atomid       :  1.15473e-01 ; iterations: [ 1.15473e-01 ]

Aggregators
count                :  4.70680e+00 ; iterations: [ 4.70680e+00 ]
sum                  :  1.14795e+00 ; iterations: [ 1.14795e+00 ]
projection2_mode     :  9.87881e-01 ; iterations: [ 9.87881e-01 ]
mode                 :  5.42865e-01 ; iterations: [ 5.42865e-01 ]
projection0_mode     :  3.13873e-01 ; iterations: [ 3.13873e-01 ]
max                  :  1.29581e-01 ; iterations: [ 1.29581e-01 ]
min                  :  1.04368e-01 ; iterations: [ 1.04368e-01 ]

