Attributes
atom_atomtype[X,Y,Y] :  4.70954e+00 ; iterations: [ 4.70954e+00 ]
atom_name[X,Y,Y]     :  7.62327e-01 ; iterations: [ 7.62327e-01 ]
sbond_1_atomid[X,Y,Y]:  3.98848e-01 ; iterations: [ 3.98848e-01 ]
atom_charge[Y,Y,Y]   :  2.07324e-01 ; iterations: [ 2.07324e-01 ]
atom_atomtype[Y,Y,Y] :  1.78607e-01 ; iterations: [ 1.78607e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.15023e-01 ; iterations: [ 1.15023e-01 ]
atom_charge[X,Y,Y]   :  7.85747e-02 ; iterations: [ 7.85747e-02 ]
sbond_2_atomid[X,Y,Y]:  3.38242e-02 ; iterations: [ 3.38242e-02 ]
sbond_2_atomid[Y,Y,Y]:  2.20964e-02 ; iterations: [ 2.20964e-02 ]
sbond_7_atomid[Y,Y,Y]:  2.08333e-02 ; iterations: [ 2.08333e-02 ]

Attributes summed
atom_atomtype        :  4.88815e+00 ; iterations: [ 4.88815e+00 ]
atom_name            :  7.62327e-01 ; iterations: [ 7.62327e-01 ]
sbond_1_atomid       :  5.13871e-01 ; iterations: [ 5.13871e-01 ]
atom_charge          :  2.85898e-01 ; iterations: [ 2.85898e-01 ]
sbond_2_atomid       :  5.59206e-02 ; iterations: [ 5.59206e-02 ]
sbond_7_atomid       :  2.08333e-02 ; iterations: [ 2.08333e-02 ]

Aggregators
count                :  3.63067e+00 ; iterations: [ 3.63067e+00 ]
projection2_mode     :  1.15158e+00 ; iterations: [ 1.15158e+00 ]
min                  :  7.12050e-01 ; iterations: [ 7.12050e-01 ]
sum                  :  5.36655e-01 ; iterations: [ 5.36655e-01 ]
mode                 :  3.16092e-01 ; iterations: [ 3.16092e-01 ]
max                  :  1.18537e-01 ; iterations: [ 1.18537e-01 ]
projection0_mode     :  6.14230e-02 ; iterations: [ 6.14230e-02 ]

