Attributes
atom_atomtype[X,Y,Y] :  3.81343e+00 ; iterations: [ 3.81343e+00 ]
atom_charge[X,Y,Y]   :  6.31403e-01 ; iterations: [ 6.31403e-01 ]
atom_charge[Y,Y,Y]   :  6.19512e-01 ; iterations: [ 6.19512e-01 ]
atom_name[X,Y,Y]     :  6.14389e-01 ; iterations: [ 6.14389e-01 ]
sbond_1_atomid[X,Y,Y]:  5.99975e-01 ; iterations: [ 5.99975e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.99815e-01 ; iterations: [ 3.99815e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.73916e-01 ; iterations: [ 2.73916e-01 ]
atom_atomtype[Y,Y,Y] :  2.29423e-01 ; iterations: [ 2.29423e-01 ]
sbond_2_atomid[X,Y,Y]:  1.86126e-01 ; iterations: [ 1.86126e-01 ]
atom_name[Y,Y,Y]     :  4.32099e-02 ; iterations: [ 4.32099e-02 ]
sbond_7_atomid[Y,Y,Y]:  2.62909e-02 ; iterations: [ 2.62909e-02 ]

Attributes summed
atom_atomtype        :  4.04285e+00 ; iterations: [ 4.04285e+00 ]
atom_charge          :  1.25091e+00 ; iterations: [ 1.25091e+00 ]
sbond_1_atomid       :  9.99789e-01 ; iterations: [ 9.99789e-01 ]
atom_name            :  6.57599e-01 ; iterations: [ 6.57599e-01 ]
sbond_2_atomid       :  4.60041e-01 ; iterations: [ 4.60041e-01 ]
sbond_7_atomid       :  2.62909e-02 ; iterations: [ 2.62909e-02 ]

Aggregators
count                :  3.20745e+00 ; iterations: [ 3.20745e+00 ]
projection2_mode     :  1.24993e+00 ; iterations: [ 1.24993e+00 ]
mode                 :  1.06156e+00 ; iterations: [ 1.06156e+00 ]
sum                  :  6.44745e-01 ; iterations: [ 6.44745e-01 ]
max                  :  6.15176e-01 ; iterations: [ 6.15176e-01 ]
min                  :  4.23747e-01 ; iterations: [ 4.23747e-01 ]
projection0_mode     :  2.34889e-01 ; iterations: [ 2.34889e-01 ]

