Attributes
atom_atomtype[X,Y,Y] :  5.44599e+00 ; iterations: [ 5.44599e+00 ]
atom_charge[X,Y,Y]   :  1.12840e+00 ; iterations: [ 1.12840e+00 ]
sbond_1_atomid[X,Y,Y]:  6.93771e-01 ; iterations: [ 6.93771e-01 ]
atom_charge[Y,Y,Y]   :  5.93388e-01 ; iterations: [ 5.93388e-01 ]
sbond_1_atomid[Y,Y,Y]:  5.00673e-01 ; iterations: [ 5.00673e-01 ]
sbond_2_atomid[X,Y,Y]:  4.70282e-01 ; iterations: [ 4.70282e-01 ]
atom_atomtype[Y,Y,Y] :  4.24671e-01 ; iterations: [ 4.24671e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.83754e-01 ; iterations: [ 1.83754e-01 ]
sbond_7_atomid[X,Y,Y]:  9.56633e-02 ; iterations: [ 9.56633e-02 ]
atom_name[X,Y,Y]     :  6.91159e-02 ; iterations: [ 6.91159e-02 ]
sbond_7_atomid[Y,Y,Y]:  8.59375e-03 ; iterations: [ 8.59375e-03 ]

Attributes summed
atom_atomtype        :  5.87066e+00 ; iterations: [ 5.87066e+00 ]
atom_charge          :  1.72179e+00 ; iterations: [ 1.72179e+00 ]
sbond_1_atomid       :  1.19444e+00 ; iterations: [ 1.19444e+00 ]
sbond_2_atomid       :  6.54035e-01 ; iterations: [ 6.54035e-01 ]
sbond_7_atomid       :  1.04257e-01 ; iterations: [ 1.04257e-01 ]
atom_name            :  6.91159e-02 ; iterations: [ 6.91159e-02 ]

Aggregators
count                :  4.37610e+00 ; iterations: [ 4.37610e+00 ]
projection2_mode     :  1.59713e+00 ; iterations: [ 1.59713e+00 ]
mode                 :  1.12426e+00 ; iterations: [ 1.12426e+00 ]
max                  :  1.02297e+00 ; iterations: [ 1.02297e+00 ]
sum                  :  7.72737e-01 ; iterations: [ 7.72737e-01 ]
min                  :  5.68824e-01 ; iterations: [ 5.68824e-01 ]
projection0_mode     :  1.52273e-01 ; iterations: [ 1.52273e-01 ]

