Attributes
atom_atomtype[X,Y,Y] :  5.31060e+00 ; iterations: [ 5.31060e+00 ]
sbond_1_atomid[Y,Y,Y]:  7.07740e-01 ; iterations: [ 7.07740e-01 ]
sbond_1_atomid[X,Y,Y]:  5.35672e-01 ; iterations: [ 5.35672e-01 ]
atom_name[X,Y,Y]     :  4.54737e-01 ; iterations: [ 4.54737e-01 ]
atom_charge[Y,Y,Y]   :  4.15402e-01 ; iterations: [ 4.15402e-01 ]
atom_charge[X,Y,Y]   :  3.92615e-01 ; iterations: [ 3.92615e-01 ]
sbond_2_atomid[X,Y,Y]:  3.31889e-01 ; iterations: [ 3.31889e-01 ]
atom_atomtype[Y,Y,Y] :  1.18590e-01 ; iterations: [ 1.18590e-01 ]
atom_name[Y,Y,Y]     :  1.04729e-01 ; iterations: [ 1.04729e-01 ]
sbond_7_atomid[X,Y,Y]:  5.14912e-02 ; iterations: [ 5.14912e-02 ]
sbond_2_atomid[Y,Y,Y]:  3.75000e-02 ; iterations: [ 3.75000e-02 ]

Attributes summed
atom_atomtype        :  5.42919e+00 ; iterations: [ 5.42919e+00 ]
sbond_1_atomid       :  1.24341e+00 ; iterations: [ 1.24341e+00 ]
atom_charge          :  8.08016e-01 ; iterations: [ 8.08016e-01 ]
atom_name            :  5.59466e-01 ; iterations: [ 5.59466e-01 ]
sbond_2_atomid       :  3.69389e-01 ; iterations: [ 3.69389e-01 ]
sbond_7_atomid       :  5.14912e-02 ; iterations: [ 5.14912e-02 ]

Aggregators
count                :  4.79200e+00 ; iterations: [ 4.79200e+00 ]
projection2_mode     :  1.29529e+00 ; iterations: [ 1.29529e+00 ]
sum                  :  8.75365e-01 ; iterations: [ 8.75365e-01 ]
mode                 :  7.20580e-01 ; iterations: [ 7.20580e-01 ]
max                  :  3.64279e-01 ; iterations: [ 3.64279e-01 ]
min                  :  2.35036e-01 ; iterations: [ 2.35036e-01 ]
projection0_mode     :  1.78416e-01 ; iterations: [ 1.78416e-01 ]

