Attributes
atom_atomtype[X,Y,Y] :  3.76437e+00 ; iterations: [ 3.76437e+00 ]
atom_charge[X,Y,Y]   :  1.48517e+00 ; iterations: [ 1.48517e+00 ]
atom_name[X,Y,Y]     :  7.97456e-01 ; iterations: [ 7.97456e-01 ]
atom_charge[Y,Y,Y]   :  3.25436e-01 ; iterations: [ 3.25436e-01 ]
sbond_1_atomid[X,Y,Y]:  2.86594e-01 ; iterations: [ 2.86594e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.73983e-01 ; iterations: [ 1.73983e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.58022e-01 ; iterations: [ 1.58022e-01 ]
sbond_7_atomid[X,Y,Y]:  2.96809e-02 ; iterations: [ 2.96809e-02 ]
sbond_2_atomid[X,Y,Y]:  2.55951e-02 ; iterations: [ 2.55951e-02 ]
atom_atomtype[Y,Y,Y] :  4.92689e-03 ; iterations: [ 4.92689e-03 ]

Attributes summed
atom_atomtype        :  3.76930e+00 ; iterations: [ 3.76930e+00 ]
atom_charge          :  1.81061e+00 ; iterations: [ 1.81061e+00 ]
atom_name            :  7.97456e-01 ; iterations: [ 7.97456e-01 ]
sbond_1_atomid       :  4.44616e-01 ; iterations: [ 4.44616e-01 ]
sbond_2_atomid       :  1.99578e-01 ; iterations: [ 1.99578e-01 ]
sbond_7_atomid       :  2.96809e-02 ; iterations: [ 2.96809e-02 ]

Aggregators
count                :  4.35626e+00 ; iterations: [ 4.35626e+00 ]
sum                  :  6.38911e-01 ; iterations: [ 6.38911e-01 ]
min                  :  5.69694e-01 ; iterations: [ 5.69694e-01 ]
max                  :  5.04734e-01 ; iterations: [ 5.04734e-01 ]
projection2_mode     :  4.36625e-01 ; iterations: [ 4.36625e-01 ]
mode                 :  3.71699e-01 ; iterations: [ 3.71699e-01 ]
projection0_mode     :  1.73309e-01 ; iterations: [ 1.73309e-01 ]

