Attributes
atom_atomtype[X,Y,Y] :  3.88446e+00 ; iterations: [ 3.88446e+00 ]
sbond_1_atomid[X,Y,Y]:  8.08485e-01 ; iterations: [ 8.08485e-01 ]
atom_charge[X,Y,Y]   :  6.21922e-01 ; iterations: [ 6.21922e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.37280e-01 ; iterations: [ 4.37280e-01 ]
atom_charge[Y,Y,Y]   :  3.87132e-01 ; iterations: [ 3.87132e-01 ]
atom_name[X,Y,Y]     :  2.91744e-01 ; iterations: [ 2.91744e-01 ]
atom_atomtype[Y,Y,Y] :  2.63742e-01 ; iterations: [ 2.63742e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.37596e-01 ; iterations: [ 1.37596e-01 ]
sbond_2_atomid[X,Y,Y]:  7.92385e-02 ; iterations: [ 7.92385e-02 ]
sbond_7_atomid[Y,Y,Y]:  5.33842e-02 ; iterations: [ 5.33842e-02 ]
sbond_7_atomid[X,Y,Y]:  2.78452e-02 ; iterations: [ 2.78452e-02 ]

Attributes summed
atom_atomtype        :  4.14820e+00 ; iterations: [ 4.14820e+00 ]
sbond_1_atomid       :  1.24576e+00 ; iterations: [ 1.24576e+00 ]
atom_charge          :  1.00905e+00 ; iterations: [ 1.00905e+00 ]
atom_name            :  2.91744e-01 ; iterations: [ 2.91744e-01 ]
sbond_2_atomid       :  2.16835e-01 ; iterations: [ 2.16835e-01 ]
sbond_7_atomid       :  8.12293e-02 ; iterations: [ 8.12293e-02 ]

Aggregators
count                :  3.59519e+00 ; iterations: [ 3.59519e+00 ]
projection2_mode     :  1.17324e+00 ; iterations: [ 1.17324e+00 ]
mode                 :  6.85609e-01 ; iterations: [ 6.85609e-01 ]
sum                  :  6.27104e-01 ; iterations: [ 6.27104e-01 ]
max                  :  5.84127e-01 ; iterations: [ 5.84127e-01 ]
min                  :  1.75435e-01 ; iterations: [ 1.75435e-01 ]
projection0_mode     :  1.52114e-01 ; iterations: [ 1.52114e-01 ]

