Attributes
atom_atomtype[X,Y,Y] :  6.23145e+00 ; iterations: [ 6.23145e+00 ]
atom_name[X,Y,Y]     :  9.18101e-01 ; iterations: [ 9.18101e-01 ]
atom_charge[X,Y,Y]   :  6.15365e-01 ; iterations: [ 6.15365e-01 ]
atom_charge[Y,Y,Y]   :  2.98609e-01 ; iterations: [ 2.98609e-01 ]
atom_name[Y,Y,Y]     :  2.90288e-01 ; iterations: [ 2.90288e-01 ]
sbond_1_atomid[X,Y,Y]:  1.67981e-01 ; iterations: [ 1.67981e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.67198e-01 ; iterations: [ 1.67198e-01 ]
sbond_2_atomid[X,Y,Y]:  1.08713e-01 ; iterations: [ 1.08713e-01 ]
sbond_1_atomid[Y,Y,Y]:  7.69663e-02 ; iterations: [ 7.69663e-02 ]
sbond_2_atomid[Y,Y,Y]:  6.64746e-02 ; iterations: [ 6.64746e-02 ]
atom_atomtype[Y,Y,Y] :  3.93722e-02 ; iterations: [ 3.93722e-02 ]

Attributes summed
atom_atomtype        :  6.27083e+00 ; iterations: [ 6.27083e+00 ]
atom_name            :  1.20839e+00 ; iterations: [ 1.20839e+00 ]
atom_charge          :  9.13973e-01 ; iterations: [ 9.13973e-01 ]
sbond_1_atomid       :  2.44947e-01 ; iterations: [ 2.44947e-01 ]
sbond_2_atomid       :  1.75188e-01 ; iterations: [ 1.75188e-01 ]
sbond_7_atomid       :  1.67198e-01 ; iterations: [ 1.67198e-01 ]

Aggregators
count                :  4.25581e+00 ; iterations: [ 4.25581e+00 ]
max                  :  1.42250e+00 ; iterations: [ 1.42250e+00 ]
projection2_mode     :  1.29146e+00 ; iterations: [ 1.29146e+00 ]
mode                 :  8.55142e-01 ; iterations: [ 8.55142e-01 ]
sum                  :  6.39443e-01 ; iterations: [ 6.39443e-01 ]
min                  :  3.00205e-01 ; iterations: [ 3.00205e-01 ]
projection0_mode     :  2.15963e-01 ; iterations: [ 2.15963e-01 ]

