Attributes
bonds_bond_type[X,Y,Y,Y]:  8.04553e-01 ; iterations: [ 8.04553e-01 ]
atoms_atom_type[Y,X,Y]  :  6.20038e-01 ; iterations: [ 6.20038e-01 ]
atoms_charge[Y,X,Y]     :  3.76942e-01 ; iterations: [ 3.76942e-01 ]
atoms_atom_type[Y,Y,Y]  :  2.62603e-01 ; iterations: [ 2.62603e-01 ]
bonds_bond_type[Y,Y,Y,Y]:  1.49386e-01 ; iterations: [ 1.49386e-01 ]
atoms_element[Y,X,Y]    :  6.38749e-02 ; iterations: [ 6.38749e-02 ]
atoms_charge[Y,Y,Y]     :  1.75839e-02 ; iterations: [ 1.75839e-02 ]

Attributes summed
bonds_bond_type         :  9.53939e-01 ; iterations: [ 9.53939e-01 ]
atoms_atom_type         :  8.82641e-01 ; iterations: [ 8.82641e-01 ]
atoms_charge            :  3.94526e-01 ; iterations: [ 3.94526e-01 ]
atoms_element           :  6.38749e-02 ; iterations: [ 6.38749e-02 ]

Aggregators
sum                     :  1.09381e+00 ; iterations: [ 1.09381e+00 ]
count                   :  5.46135e-01 ; iterations: [ 5.46135e-01 ]
min                     :  2.69246e-01 ; iterations: [ 2.69246e-01 ]
projection0_mode        :  1.38889e-01 ; iterations: [ 1.38889e-01 ]
max                     :  1.38889e-01 ; iterations: [ 1.38889e-01 ]
projection2_max         :  9.91217e-02 ; iterations: [ 9.91217e-02 ]
projection2_min         :  8.88889e-03 ; iterations: [ 8.88889e-03 ]

