Attributes
atom_atomtype[X,Y,Y] :  7.77255e+00 ; iterations: [ 7.77255e+00 ]
atom_charge[X,Y,Y]   :  7.20331e-01 ; iterations: [ 7.20331e-01 ]
atom_charge[Y,Y,Y]   :  6.68804e-01 ; iterations: [ 6.68804e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.02711e-01 ; iterations: [ 4.02711e-01 ]
sbond_2_atomid[X,Y,Y]:  3.43114e-01 ; iterations: [ 3.43114e-01 ]
sbond_1_atomid[X,Y,Y]:  2.40716e-01 ; iterations: [ 2.40716e-01 ]
atom_name[X,Y,Y]     :  8.54972e-02 ; iterations: [ 8.54972e-02 ]
sbond_2_atomid[Y,Y,Y]:  6.29588e-02 ; iterations: [ 6.29588e-02 ]
atom_atomtype[Y,Y,Y] :  4.00000e-02 ; iterations: [ 4.00000e-02 ]

Attributes summed
atom_atomtype        :  7.81255e+00 ; iterations: [ 7.81255e+00 ]
atom_charge          :  1.38913e+00 ; iterations: [ 1.38913e+00 ]
sbond_1_atomid       :  6.43427e-01 ; iterations: [ 6.43427e-01 ]
sbond_2_atomid       :  4.06073e-01 ; iterations: [ 4.06073e-01 ]
atom_name            :  8.54972e-02 ; iterations: [ 8.54972e-02 ]

Aggregators
count                :  5.26281e+00 ; iterations: [ 5.26281e+00 ]
projection2_mode     :  2.10325e+00 ; iterations: [ 2.10325e+00 ]
sum                  :  1.14067e+00 ; iterations: [ 1.14067e+00 ]
mode                 :  9.45986e-01 ; iterations: [ 9.45986e-01 ]
max                  :  3.01377e-01 ; iterations: [ 3.01377e-01 ]
projection0_mode     :  3.01105e-01 ; iterations: [ 3.01105e-01 ]
min                  :  2.81485e-01 ; iterations: [ 2.81485e-01 ]

