Attributes
atom_atomtype[X,Y,Y] :  5.69250e+00 ; iterations: [ 5.69250e+00 ]
atom_charge[X,Y,Y]   :  1.32659e+00 ; iterations: [ 1.32659e+00 ]
sbond_1_atomid[X,Y,Y]:  5.75058e-01 ; iterations: [ 5.75058e-01 ]
atom_name[X,Y,Y]     :  5.38301e-01 ; iterations: [ 5.38301e-01 ]
atom_charge[Y,Y,Y]   :  3.41637e-01 ; iterations: [ 3.41637e-01 ]
atom_atomtype[Y,Y,Y] :  2.34344e-01 ; iterations: [ 2.34344e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.47949e-01 ; iterations: [ 1.47949e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.24308e-01 ; iterations: [ 1.24308e-01 ]
atom_name[Y,Y,Y]     :  9.05500e-02 ; iterations: [ 9.05500e-02 ]
sbond_2_atomid[X,Y,Y]:  6.12239e-02 ; iterations: [ 6.12239e-02 ]
sbond_7_atomid[X,Y,Y]:  3.71901e-02 ; iterations: [ 3.71901e-02 ]
sbond_3_atomid[Y,Y,Y]:  3.29746e-02 ; iterations: [ 3.29746e-02 ]
sbond_2_atomid[Y,Y,Y]:  3.29547e-02 ; iterations: [ 3.29547e-02 ]

Attributes summed
atom_atomtype        :  5.92684e+00 ; iterations: [ 5.92684e+00 ]
atom_charge          :  1.66823e+00 ; iterations: [ 1.66823e+00 ]
sbond_1_atomid       :  7.23006e-01 ; iterations: [ 7.23006e-01 ]
atom_name            :  6.28850e-01 ; iterations: [ 6.28850e-01 ]
sbond_7_atomid       :  1.61498e-01 ; iterations: [ 1.61498e-01 ]
sbond_2_atomid       :  9.41786e-02 ; iterations: [ 9.41786e-02 ]
sbond_3_atomid       :  3.29746e-02 ; iterations: [ 3.29746e-02 ]

Aggregators
count                :  4.22894e+00 ; iterations: [ 4.22894e+00 ]
projection2_mode     :  2.50609e+00 ; iterations: [ 2.50609e+00 ]
sum                  :  8.97479e-01 ; iterations: [ 8.97479e-01 ]
min                  :  6.99765e-01 ; iterations: [ 6.99765e-01 ]
mode                 :  5.64730e-01 ; iterations: [ 5.64730e-01 ]
max                  :  2.75519e-01 ; iterations: [ 2.75519e-01 ]
projection0_mode     :  6.30564e-02 ; iterations: [ 6.30564e-02 ]

