Attributes
atom_atomtype[X,Y,Y] :  3.88568e+00 ; iterations: [ 3.88568e+00 ]
atom_charge[X,Y,Y]   :  1.74280e+00 ; iterations: [ 1.74280e+00 ]
atom_charge[Y,Y,Y]   :  8.23955e-01 ; iterations: [ 8.23955e-01 ]
atom_name[X,Y,Y]     :  6.78459e-01 ; iterations: [ 6.78459e-01 ]
sbond_1_atomid[X,Y,Y]:  2.76479e-01 ; iterations: [ 2.76479e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.82836e-01 ; iterations: [ 1.82836e-01 ]
sbond_1_atomid[Y,Y,Y]:  7.16206e-02 ; iterations: [ 7.16206e-02 ]
atom_name[Y,Y,Y]     :  5.36508e-02 ; iterations: [ 5.36508e-02 ]
sbond_7_atomid[Y,Y,Y]:  4.63963e-02 ; iterations: [ 4.63963e-02 ]
sbond_2_atomid[X,Y,Y]:  2.75980e-02 ; iterations: [ 2.75980e-02 ]
atom_atomtype[Y,Y,Y] :  2.75980e-02 ; iterations: [ 2.75980e-02 ]

Attributes summed
atom_atomtype        :  3.91328e+00 ; iterations: [ 3.91328e+00 ]
atom_charge          :  2.56676e+00 ; iterations: [ 2.56676e+00 ]
atom_name            :  7.32110e-01 ; iterations: [ 7.32110e-01 ]
sbond_1_atomid       :  3.48100e-01 ; iterations: [ 3.48100e-01 ]
sbond_2_atomid       :  2.10434e-01 ; iterations: [ 2.10434e-01 ]
sbond_7_atomid       :  4.63963e-02 ; iterations: [ 4.63963e-02 ]

Aggregators
count                :  3.68503e+00 ; iterations: [ 3.68503e+00 ]
projection2_mode     :  1.34280e+00 ; iterations: [ 1.34280e+00 ]
mode                 :  9.05204e-01 ; iterations: [ 9.05204e-01 ]
min                  :  7.51702e-01 ; iterations: [ 7.51702e-01 ]
max                  :  4.54430e-01 ; iterations: [ 4.54430e-01 ]
sum                  :  4.48678e-01 ; iterations: [ 4.48678e-01 ]
projection0_mode     :  2.29232e-01 ; iterations: [ 2.29232e-01 ]

