Attributes
atom_atomtype[X,Y,Y] :  5.03844e+00 ; iterations: [ 5.03844e+00 ]
atom_name[X,Y,Y]     :  5.41905e-01 ; iterations: [ 5.41905e-01 ]
atom_charge[X,Y,Y]   :  5.37876e-01 ; iterations: [ 5.37876e-01 ]
sbond_1_atomid[X,Y,Y]:  3.41989e-01 ; iterations: [ 3.41989e-01 ]
atom_atomtype[Y,Y,Y] :  2.87717e-01 ; iterations: [ 2.87717e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.79355e-01 ; iterations: [ 2.79355e-01 ]
sbond_2_atomid[X,Y,Y]:  2.35369e-01 ; iterations: [ 2.35369e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.65276e-01 ; iterations: [ 1.65276e-01 ]
atom_charge[Y,Y,Y]   :  5.92297e-02 ; iterations: [ 5.92297e-02 ]
sbond_7_atomid[Y,Y,Y]:  4.64876e-02 ; iterations: [ 4.64876e-02 ]

Attributes summed
atom_atomtype        :  5.32615e+00 ; iterations: [ 5.32615e+00 ]
atom_charge          :  5.97106e-01 ; iterations: [ 5.97106e-01 ]
atom_name            :  5.41905e-01 ; iterations: [ 5.41905e-01 ]
sbond_2_atomid       :  5.14724e-01 ; iterations: [ 5.14724e-01 ]
sbond_1_atomid       :  5.07265e-01 ; iterations: [ 5.07265e-01 ]
sbond_7_atomid       :  4.64876e-02 ; iterations: [ 4.64876e-02 ]

Aggregators
count                :  4.46080e+00 ; iterations: [ 4.46080e+00 ]
sum                  :  1.23515e+00 ; iterations: [ 1.23515e+00 ]
min                  :  4.99849e-01 ; iterations: [ 4.99849e-01 ]
projection0_mode     :  4.79613e-01 ; iterations: [ 4.79613e-01 ]
mode                 :  4.58895e-01 ; iterations: [ 4.58895e-01 ]
projection2_mode     :  3.16876e-01 ; iterations: [ 3.16876e-01 ]
max                  :  8.24559e-02 ; iterations: [ 8.24559e-02 ]

