Attributes
atom_atomtype[X,Y,Y] :  5.59901e+00 ; iterations: [ 5.59901e+00 ]
atom_name[X,Y,Y]     :  1.17307e+00 ; iterations: [ 1.17307e+00 ]
atom_charge[X,Y,Y]   :  9.00606e-01 ; iterations: [ 9.00606e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.79357e-01 ; iterations: [ 3.79357e-01 ]
atom_charge[Y,Y,Y]   :  3.67053e-01 ; iterations: [ 3.67053e-01 ]
atom_name[Y,Y,Y]     :  2.22222e-01 ; iterations: [ 2.22222e-01 ]
sbond_1_atomid[X,Y,Y]:  1.78682e-01 ; iterations: [ 1.78682e-01 ]
sbond_2_atomid[Y,Y,Y]:  6.71033e-02 ; iterations: [ 6.71033e-02 ]
sbond_2_atomid[X,Y,Y]:  2.31872e-02 ; iterations: [ 2.31872e-02 ]
sbond_7_atomid[Y,Y,Y]:  2.06107e-02 ; iterations: [ 2.06107e-02 ]

Attributes summed
atom_atomtype        :  5.59901e+00 ; iterations: [ 5.59901e+00 ]
atom_name            :  1.39530e+00 ; iterations: [ 1.39530e+00 ]
atom_charge          :  1.26766e+00 ; iterations: [ 1.26766e+00 ]
sbond_1_atomid       :  5.58038e-01 ; iterations: [ 5.58038e-01 ]
sbond_2_atomid       :  9.02906e-02 ; iterations: [ 9.02906e-02 ]
sbond_7_atomid       :  2.06107e-02 ; iterations: [ 2.06107e-02 ]

Aggregators
count                :  5.05503e+00 ; iterations: [ 5.05503e+00 ]
sum                  :  1.37729e+00 ; iterations: [ 1.37729e+00 ]
min                  :  8.30193e-01 ; iterations: [ 8.30193e-01 ]
projection2_mode     :  7.86807e-01 ; iterations: [ 7.86807e-01 ]
mode                 :  6.29705e-01 ; iterations: [ 6.29705e-01 ]
max                  :  1.73235e-01 ; iterations: [ 1.73235e-01 ]
projection0_mode     :  7.86455e-02 ; iterations: [ 7.86455e-02 ]

