Attributes
atom_atomtype[X,Y,Y] :  3.40281e+00 ; iterations: [ 3.40281e+00 ]
atom_charge[X,Y,Y]   :  9.08873e-01 ; iterations: [ 9.08873e-01 ]
atom_name[X,Y,Y]     :  6.34283e-01 ; iterations: [ 6.34283e-01 ]
atom_charge[Y,Y,Y]   :  5.11319e-01 ; iterations: [ 5.11319e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.03763e-01 ; iterations: [ 4.03763e-01 ]
sbond_1_atomid[X,Y,Y]:  2.58684e-01 ; iterations: [ 2.58684e-01 ]
sbond_2_atomid[X,Y,Y]:  2.47658e-01 ; iterations: [ 2.47658e-01 ]
atom_atomtype[Y,Y,Y] :  2.40886e-01 ; iterations: [ 2.40886e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.02658e-01 ; iterations: [ 1.02658e-01 ]
sbond_7_atomid[X,Y,Y]:  3.25222e-02 ; iterations: [ 3.25222e-02 ]
atom_name[Y,Y,Y]     :  2.92810e-02 ; iterations: [ 2.92810e-02 ]
sbond_7_atomid[Y,Y,Y]:  2.19471e-02 ; iterations: [ 2.19471e-02 ]

Attributes summed
atom_atomtype        :  3.64369e+00 ; iterations: [ 3.64369e+00 ]
atom_charge          :  1.42019e+00 ; iterations: [ 1.42019e+00 ]
atom_name            :  6.63564e-01 ; iterations: [ 6.63564e-01 ]
sbond_1_atomid       :  6.62448e-01 ; iterations: [ 6.62448e-01 ]
sbond_2_atomid       :  3.50316e-01 ; iterations: [ 3.50316e-01 ]
sbond_7_atomid       :  5.44693e-02 ; iterations: [ 5.44693e-02 ]

Aggregators
count                :  2.30430e+00 ; iterations: [ 2.30430e+00 ]
projection2_mode     :  1.69648e+00 ; iterations: [ 1.69648e+00 ]
sum                  :  1.24037e+00 ; iterations: [ 1.24037e+00 ]
mode                 :  7.34506e-01 ; iterations: [ 7.34506e-01 ]
min                  :  5.58937e-01 ; iterations: [ 5.58937e-01 ]
max                  :  1.74557e-01 ; iterations: [ 1.74557e-01 ]
projection0_mode     :  8.55384e-02 ; iterations: [ 8.55384e-02 ]

