Attributes
atom_atomtype[X,Y,Y] :  4.73829e+00 ; iterations: [ 4.73829e+00 ]
atom_charge[X,Y,Y]   :  1.48297e+00 ; iterations: [ 1.48297e+00 ]
sbond_1_atomid[Y,Y,Y]:  5.27254e-01 ; iterations: [ 5.27254e-01 ]
atom_name[X,Y,Y]     :  4.40000e-01 ; iterations: [ 4.40000e-01 ]
atom_charge[Y,Y,Y]   :  3.06867e-01 ; iterations: [ 3.06867e-01 ]
sbond_7_atomid[Y,Y,Y]:  2.67877e-01 ; iterations: [ 2.67877e-01 ]
sbond_1_atomid[X,Y,Y]:  1.94004e-01 ; iterations: [ 1.94004e-01 ]
sbond_2_atomid[X,Y,Y]:  1.44851e-01 ; iterations: [ 1.44851e-01 ]
atom_atomtype[Y,Y,Y] :  1.13735e-01 ; iterations: [ 1.13735e-01 ]
sbond_7_atomid[X,Y,Y]:  4.56548e-02 ; iterations: [ 4.56548e-02 ]
atom_name[Y,Y,Y]     :  2.29939e-02 ; iterations: [ 2.29939e-02 ]
sbond_3_atomid[Y,Y,Y]:  2.14753e-02 ; iterations: [ 2.14753e-02 ]
sbond_2_atomid[Y,Y,Y]:  1.17857e-02 ; iterations: [ 1.17857e-02 ]

Attributes summed
atom_atomtype        :  4.85202e+00 ; iterations: [ 4.85202e+00 ]
atom_charge          :  1.78984e+00 ; iterations: [ 1.78984e+00 ]
sbond_1_atomid       :  7.21258e-01 ; iterations: [ 7.21258e-01 ]
atom_name            :  4.62994e-01 ; iterations: [ 4.62994e-01 ]
sbond_7_atomid       :  3.13532e-01 ; iterations: [ 3.13532e-01 ]
sbond_2_atomid       :  1.56636e-01 ; iterations: [ 1.56636e-01 ]
sbond_3_atomid       :  2.14753e-02 ; iterations: [ 2.14753e-02 ]

Aggregators
count                :  5.10134e+00 ; iterations: [ 5.10134e+00 ]
sum                  :  1.47463e+00 ; iterations: [ 1.47463e+00 ]
projection2_mode     :  6.60930e-01 ; iterations: [ 6.60930e-01 ]
mode                 :  4.82256e-01 ; iterations: [ 4.82256e-01 ]
projection0_mode     :  2.75767e-01 ; iterations: [ 2.75767e-01 ]
max                  :  2.30904e-01 ; iterations: [ 2.30904e-01 ]
min                  :  9.19350e-02 ; iterations: [ 9.19350e-02 ]

