Attributes
atom_atomtype[X,Y,Y] :  5.83045e+00 ; iterations: [ 5.83045e+00 ]
atom_charge[X,Y,Y]   :  8.16790e-01 ; iterations: [ 8.16790e-01 ]
atom_charge[Y,Y,Y]   :  4.47283e-01 ; iterations: [ 4.47283e-01 ]
atom_name[X,Y,Y]     :  4.08082e-01 ; iterations: [ 4.08082e-01 ]
sbond_1_atomid[X,Y,Y]:  2.91071e-01 ; iterations: [ 2.91071e-01 ]
atom_atomtype[Y,Y,Y] :  2.03120e-01 ; iterations: [ 2.03120e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.53748e-01 ; iterations: [ 1.53748e-01 ]
sbond_2_atomid[X,Y,Y]:  1.14231e-01 ; iterations: [ 1.14231e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.10735e-01 ; iterations: [ 1.10735e-01 ]
sbond_7_atomid[Y,Y,Y]:  8.26446e-02 ; iterations: [ 8.26446e-02 ]
atom_name[Y,Y,Y]     :  2.51958e-02 ; iterations: [ 2.51958e-02 ]

Attributes summed
atom_atomtype        :  6.03357e+00 ; iterations: [ 6.03357e+00 ]
atom_charge          :  1.26407e+00 ; iterations: [ 1.26407e+00 ]
sbond_1_atomid       :  4.44819e-01 ; iterations: [ 4.44819e-01 ]
atom_name            :  4.33277e-01 ; iterations: [ 4.33277e-01 ]
sbond_2_atomid       :  2.24966e-01 ; iterations: [ 2.24966e-01 ]
sbond_7_atomid       :  8.26446e-02 ; iterations: [ 8.26446e-02 ]

Aggregators
count                :  4.51786e+00 ; iterations: [ 4.51786e+00 ]
projection2_mode     :  1.79967e+00 ; iterations: [ 1.79967e+00 ]
sum                  :  7.81700e-01 ; iterations: [ 7.81700e-01 ]
mode                 :  7.10425e-01 ; iterations: [ 7.10425e-01 ]
max                  :  2.88744e-01 ; iterations: [ 2.88744e-01 ]
min                  :  1.95559e-01 ; iterations: [ 1.95559e-01 ]
projection0_mode     :  1.89390e-01 ; iterations: [ 1.89390e-01 ]

