Attributes
atom_atomtype[X,Y,Y] :  3.85325e+00 ; iterations: [ 3.85325e+00 ]
atom_charge[X,Y,Y]   :  9.06111e-01 ; iterations: [ 9.06111e-01 ]
sbond_1_atomid[Y,Y,Y]:  7.13848e-01 ; iterations: [ 7.13848e-01 ]
sbond_1_atomid[X,Y,Y]:  5.36533e-01 ; iterations: [ 5.36533e-01 ]
atom_name[X,Y,Y]     :  4.22465e-01 ; iterations: [ 4.22465e-01 ]
atom_charge[Y,Y,Y]   :  1.92741e-01 ; iterations: [ 1.92741e-01 ]
atom_name[Y,Y,Y]     :  1.87500e-01 ; iterations: [ 1.87500e-01 ]
atom_atomtype[Y,Y,Y] :  1.61725e-01 ; iterations: [ 1.61725e-01 ]
sbond_2_atomid[X,Y,Y]:  1.27444e-01 ; iterations: [ 1.27444e-01 ]
sbond_7_atomid[Y,Y,Y]:  4.52009e-02 ; iterations: [ 4.52009e-02 ]
sbond_2_atomid[Y,Y,Y]:  1.48617e-02 ; iterations: [ 1.48617e-02 ]

Attributes summed
atom_atomtype        :  4.01497e+00 ; iterations: [ 4.01497e+00 ]
sbond_1_atomid       :  1.25038e+00 ; iterations: [ 1.25038e+00 ]
atom_charge          :  1.09885e+00 ; iterations: [ 1.09885e+00 ]
atom_name            :  6.09965e-01 ; iterations: [ 6.09965e-01 ]
sbond_2_atomid       :  1.42305e-01 ; iterations: [ 1.42305e-01 ]
sbond_7_atomid       :  4.52009e-02 ; iterations: [ 4.52009e-02 ]

Aggregators
count                :  4.07592e+00 ; iterations: [ 4.07592e+00 ]
sum                  :  1.29383e+00 ; iterations: [ 1.29383e+00 ]
mode                 :  6.05635e-01 ; iterations: [ 6.05635e-01 ]
projection2_mode     :  5.59823e-01 ; iterations: [ 5.59823e-01 ]
min                  :  4.56769e-01 ; iterations: [ 4.56769e-01 ]
projection0_mode     :  9.52495e-02 ; iterations: [ 9.52495e-02 ]
max                  :  7.44569e-02 ; iterations: [ 7.44569e-02 ]

