data set,fold,shrinkage,depth,accuracy
basket,4,0.6,2,0.7
basket,4,0.6,4,0.7
basket,4,0.6,6,0.7
basket,4,0.6,8,0.7
basket,5,0.05,2,0.7777777777777778
basket,5,0.05,4,0.7777777777777778
basket,5,0.05,6,0.7777777777777778
basket,5,0.05,8,0.7777777777777778
basket,5,0.2,2,0.7777777777777778
basket,5,0.2,4,0.7777777777777778
basket,5,0.2,6,0.7777777777777778
basket,5,0.2,8,0.7777777777777778
basket,5,0.4,2,0.7777777777777778
basket,5,0.4,4,0.7777777777777778
basket,5,0.4,6,0.7777777777777778
basket,5,0.4,8,0.7777777777777778
basket,5,0.6,2,0.7777777777777778
basket,5,0.6,4,0.7777777777777778
basket,5,0.6,6,0.7777777777777778
basket,5,0.6,8,0.7777777777777778
basket,6,0.05,2,0.5555555555555556
basket,6,0.05,4,0.5555555555555556
basket,6,0.05,6,0.6666666666666666
basket,6,0.05,8,0.5555555555555556
basket,6,0.2,2,0.6666666666666666
basket,6,0.2,4,0.6666666666666666
basket,6,0.2,6,0.6666666666666666
basket,6,0.2,8,0.6666666666666666
basket,6,0.4,2,0.6666666666666666
basket,6,0.4,4,0.6666666666666666
basket,6,0.4,6,0.6666666666666666
basket,6,0.4,8,0.3333333333333333
basket,6,0.6,2,0.6666666666666666
basket,6,0.6,4,0.6666666666666666
basket,6,0.6,6,0.6666666666666666
basket,6,0.6,8,0.6666666666666666
basket,7,0.05,2,0.6666666666666666
basket,7,0.05,4,0.6666666666666666
basket,7,0.05,6,0.7777777777777778
basket,7,0.05,8,0.6666666666666666
basket,7,0.2,2,0.6666666666666666
basket,7,0.2,4,0.6666666666666666
basket,7,0.2,6,0.6666666666666666
basket,7,0.2,8,0.6666666666666666
basket,7,0.4,2,0.6666666666666666
basket,7,0.4,4,0.6666666666666666
basket,7,0.4,6,0.6666666666666666
basket,7,0.4,8,0.6666666666666666
basket,7,0.6,2,0.6666666666666666
basket,7,0.6,4,0.6666666666666666
basket,7,0.6,6,0.6666666666666666
basket,7,0.6,8,0.6666666666666666
basket,8,0.05,2,0.6666666666666666
basket,8,0.05,4,0.6666666666666666
basket,8,0.05,6,0.6666666666666666
basket,8,0.05,8,0.6666666666666666
basket,8,0.2,2,0.6666666666666666
basket,8,0.2,4,0.6666666666666666
basket,8,0.2,6,0.6666666666666666
basket,8,0.2,8,0.6666666666666666
