Attributes
atom_atomtype[X,Y,Y] :  4.41971e+00 ; iterations: [ 4.41971e+00 ]
sbond_1_atomid[X,Y,Y]:  6.08908e-01 ; iterations: [ 6.08908e-01 ]
atom_charge[X,Y,Y]   :  5.39539e-01 ; iterations: [ 5.39539e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.47625e-01 ; iterations: [ 4.47625e-01 ]
atom_name[X,Y,Y]     :  4.08063e-01 ; iterations: [ 4.08063e-01 ]
sbond_7_atomid[Y,Y,Y]:  2.40000e-01 ; iterations: [ 2.40000e-01 ]
atom_atomtype[Y,Y,Y] :  1.97512e-01 ; iterations: [ 1.97512e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.39535e-01 ; iterations: [ 1.39535e-01 ]
atom_charge[Y,Y,Y]   :  1.35374e-01 ; iterations: [ 1.35374e-01 ]
atom_name[Y,Y,Y]     :  1.16667e-01 ; iterations: [ 1.16667e-01 ]
sbond_2_atomid[X,Y,Y]:  1.57828e-02 ; iterations: [ 1.57828e-02 ]

Attributes summed
atom_atomtype        :  4.61723e+00 ; iterations: [ 4.61723e+00 ]
sbond_1_atomid       :  1.05653e+00 ; iterations: [ 1.05653e+00 ]
atom_charge          :  6.74913e-01 ; iterations: [ 6.74913e-01 ]
atom_name            :  5.24730e-01 ; iterations: [ 5.24730e-01 ]
sbond_7_atomid       :  2.40000e-01 ; iterations: [ 2.40000e-01 ]
sbond_2_atomid       :  1.55318e-01 ; iterations: [ 1.55318e-01 ]

Aggregators
count                :  4.22234e+00 ; iterations: [ 4.22234e+00 ]
projection2_mode     :  8.19411e-01 ; iterations: [ 8.19411e-01 ]
sum                  :  6.18367e-01 ; iterations: [ 6.18367e-01 ]
mode                 :  5.66444e-01 ; iterations: [ 5.66444e-01 ]
min                  :  4.04461e-01 ; iterations: [ 4.04461e-01 ]
projection0_mode     :  3.55995e-01 ; iterations: [ 3.55995e-01 ]
max                  :  2.81700e-01 ; iterations: [ 2.81700e-01 ]

