Attributes
atom_atomtype[X,Y,Y] :  6.22861e+00 ; iterations: [ 6.22861e+00 ]
atom_charge[X,Y,Y]   :  1.25733e+00 ; iterations: [ 1.25733e+00 ]
sbond_1_atomid[Y,Y,Y]:  4.59687e-01 ; iterations: [ 4.59687e-01 ]
atom_charge[Y,Y,Y]   :  3.90824e-01 ; iterations: [ 3.90824e-01 ]
sbond_1_atomid[X,Y,Y]:  3.28136e-01 ; iterations: [ 3.28136e-01 ]
atom_name[X,Y,Y]     :  2.39335e-01 ; iterations: [ 2.39335e-01 ]
sbond_2_atomid[X,Y,Y]:  1.45852e-01 ; iterations: [ 1.45852e-01 ]
atom_name[Y,Y,Y]     :  1.07544e-01 ; iterations: [ 1.07544e-01 ]
sbond_2_atomid[Y,Y,Y]:  9.18673e-02 ; iterations: [ 9.18673e-02 ]
sbond_7_atomid[Y,Y,Y]:  3.88593e-02 ; iterations: [ 3.88593e-02 ]

Attributes summed
atom_atomtype        :  6.22861e+00 ; iterations: [ 6.22861e+00 ]
atom_charge          :  1.64815e+00 ; iterations: [ 1.64815e+00 ]
sbond_1_atomid       :  7.87823e-01 ; iterations: [ 7.87823e-01 ]
atom_name            :  3.46879e-01 ; iterations: [ 3.46879e-01 ]
sbond_2_atomid       :  2.37719e-01 ; iterations: [ 2.37719e-01 ]
sbond_7_atomid       :  3.88593e-02 ; iterations: [ 3.88593e-02 ]

Aggregators
count                :  5.00835e+00 ; iterations: [ 5.00835e+00 ]
sum                  :  1.54950e+00 ; iterations: [ 1.54950e+00 ]
projection2_mode     :  9.78368e-01 ; iterations: [ 9.78368e-01 ]
mode                 :  6.91207e-01 ; iterations: [ 6.91207e-01 ]
min                  :  6.68734e-01 ; iterations: [ 6.68734e-01 ]
projection0_mode     :  3.27218e-01 ; iterations: [ 3.27218e-01 ]
max                  :  6.46597e-02 ; iterations: [ 6.46597e-02 ]

