Attributes
atom_atomtype[X,Y,Y] :  4.37428e+00 ; iterations: [ 4.37428e+00 ]
atom_charge[X,Y,Y]   :  1.55542e+00 ; iterations: [ 1.55542e+00 ]
atom_charge[Y,Y,Y]   :  3.45427e-01 ; iterations: [ 3.45427e-01 ]
sbond_1_atomid[X,Y,Y]:  2.88168e-01 ; iterations: [ 2.88168e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.67526e-01 ; iterations: [ 2.67526e-01 ]
sbond_2_atomid[X,Y,Y]:  1.87249e-01 ; iterations: [ 1.87249e-01 ]
atom_atomtype[Y,Y,Y] :  1.29889e-01 ; iterations: [ 1.29889e-01 ]
atom_name[Y,Y,Y]     :  1.11753e-01 ; iterations: [ 1.11753e-01 ]
sbond_2_atomid[Y,Y,Y]:  4.95821e-02 ; iterations: [ 4.95821e-02 ]
sbond_7_atomid[Y,Y,Y]:  4.77648e-02 ; iterations: [ 4.77648e-02 ]

Attributes summed
atom_atomtype        :  4.50416e+00 ; iterations: [ 4.50416e+00 ]
atom_charge          :  1.90084e+00 ; iterations: [ 1.90084e+00 ]
sbond_1_atomid       :  5.55693e-01 ; iterations: [ 5.55693e-01 ]
sbond_2_atomid       :  2.36831e-01 ; iterations: [ 2.36831e-01 ]
atom_name            :  1.11753e-01 ; iterations: [ 1.11753e-01 ]
sbond_7_atomid       :  4.77648e-02 ; iterations: [ 4.77648e-02 ]

Aggregators
count                :  4.71369e+00 ; iterations: [ 4.71369e+00 ]
mode                 :  6.40237e-01 ; iterations: [ 6.40237e-01 ]
sum                  :  6.31726e-01 ; iterations: [ 6.31726e-01 ]
projection2_mode     :  5.87068e-01 ; iterations: [ 5.87068e-01 ]
min                  :  5.56064e-01 ; iterations: [ 5.56064e-01 ]
max                  :  1.30919e-01 ; iterations: [ 1.30919e-01 ]
projection0_mode     :  9.73469e-02 ; iterations: [ 9.73469e-02 ]

