Attributes
atom_atomtype[X,Y,Y] :  5.22018e+00 ; iterations: [ 5.22018e+00 ]
atom_charge[X,Y,Y]   :  1.16853e+00 ; iterations: [ 1.16853e+00 ]
atom_charge[Y,Y,Y]   :  6.55591e-01 ; iterations: [ 6.55591e-01 ]
sbond_1_atomid[X,Y,Y]:  3.92704e-01 ; iterations: [ 3.92704e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.56523e-01 ; iterations: [ 3.56523e-01 ]
atom_atomtype[Y,Y,Y] :  1.89857e-01 ; iterations: [ 1.89857e-01 ]
atom_name[X,Y,Y]     :  1.70415e-01 ; iterations: [ 1.70415e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.60629e-01 ; iterations: [ 1.60629e-01 ]
sbond_2_atomid[X,Y,Y]:  1.51528e-01 ; iterations: [ 1.51528e-01 ]
atom_name[Y,Y,Y]     :  2.51834e-02 ; iterations: [ 2.51834e-02 ]
sbond_7_atomid[X,Y,Y]:  2.33387e-02 ; iterations: [ 2.33387e-02 ]

Attributes summed
atom_atomtype        :  5.41004e+00 ; iterations: [ 5.41004e+00 ]
atom_charge          :  1.82412e+00 ; iterations: [ 1.82412e+00 ]
sbond_1_atomid       :  7.49226e-01 ; iterations: [ 7.49226e-01 ]
sbond_2_atomid       :  3.12157e-01 ; iterations: [ 3.12157e-01 ]
atom_name            :  1.95599e-01 ; iterations: [ 1.95599e-01 ]
sbond_7_atomid       :  2.33387e-02 ; iterations: [ 2.33387e-02 ]

Aggregators
count                :  4.30952e+00 ; iterations: [ 4.30952e+00 ]
projection2_mode     :  1.34611e+00 ; iterations: [ 1.34611e+00 ]
mode                 :  8.52206e-01 ; iterations: [ 8.52206e-01 ]
max                  :  7.97878e-01 ; iterations: [ 7.97878e-01 ]
sum                  :  5.48799e-01 ; iterations: [ 5.48799e-01 ]
min                  :  5.18023e-01 ; iterations: [ 5.18023e-01 ]
projection0_mode     :  1.41942e-01 ; iterations: [ 1.41942e-01 ]

