Attributes
atom_atomtype[X,Y,Y] :  5.03527e+00 ; iterations: [ 5.03527e+00 ]
sbond_1_atomid[X,Y,Y]:  7.01202e-01 ; iterations: [ 7.01202e-01 ]
atom_charge[X,Y,Y]   :  5.43776e-01 ; iterations: [ 5.43776e-01 ]
atom_charge[Y,Y,Y]   :  2.95122e-01 ; iterations: [ 2.95122e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.55213e-01 ; iterations: [ 2.55213e-01 ]
atom_atomtype[Y,Y,Y] :  2.40000e-01 ; iterations: [ 2.40000e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.74395e-01 ; iterations: [ 1.74395e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.06161e-01 ; iterations: [ 1.06161e-01 ]
sbond_7_atomid[X,Y,Y]:  5.10417e-02 ; iterations: [ 5.10417e-02 ]
sbond_2_atomid[X,Y,Y]:  4.61796e-02 ; iterations: [ 4.61796e-02 ]
atom_name[Y,Y,Y]     :  1.98603e-02 ; iterations: [ 1.98603e-02 ]

Attributes summed
atom_atomtype        :  5.27527e+00 ; iterations: [ 5.27527e+00 ]
sbond_1_atomid       :  9.56415e-01 ; iterations: [ 9.56415e-01 ]
atom_charge          :  8.38898e-01 ; iterations: [ 8.38898e-01 ]
sbond_2_atomid       :  2.20574e-01 ; iterations: [ 2.20574e-01 ]
sbond_7_atomid       :  1.57203e-01 ; iterations: [ 1.57203e-01 ]
atom_name            :  1.98603e-02 ; iterations: [ 1.98603e-02 ]

Aggregators
count                :  4.49895e+00 ; iterations: [ 4.49895e+00 ]
sum                  :  6.58298e-01 ; iterations: [ 6.58298e-01 ]
mode                 :  6.26190e-01 ; iterations: [ 6.26190e-01 ]
projection2_mode     :  5.54982e-01 ; iterations: [ 5.54982e-01 ]
min                  :  4.88124e-01 ; iterations: [ 4.88124e-01 ]
max                  :  3.61121e-01 ; iterations: [ 3.61121e-01 ]
projection0_mode     :  2.80556e-01 ; iterations: [ 2.80556e-01 ]

