Attributes
atom_atomtype[X,Y,Y] :  5.71858e+00 ; iterations: [ 5.71858e+00 ]
atom_charge[X,Y,Y]   :  9.91106e-01 ; iterations: [ 9.91106e-01 ]
sbond_1_atomid[Y,Y,Y]:  5.51941e-01 ; iterations: [ 5.51941e-01 ]
atom_charge[Y,Y,Y]   :  4.19957e-01 ; iterations: [ 4.19957e-01 ]
sbond_1_atomid[X,Y,Y]:  3.52188e-01 ; iterations: [ 3.52188e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.65416e-01 ; iterations: [ 2.65416e-01 ]
atom_name[X,Y,Y]     :  1.96449e-01 ; iterations: [ 1.96449e-01 ]
sbond_7_atomid[X,Y,Y]:  4.33207e-02 ; iterations: [ 4.33207e-02 ]
atom_name[Y,Y,Y]     :  4.31972e-02 ; iterations: [ 4.31972e-02 ]
atom_atomtype[Y,Y,Y] :  3.37903e-02 ; iterations: [ 3.37903e-02 ]
sbond_2_atomid[X,Y,Y]:  3.23139e-02 ; iterations: [ 3.23139e-02 ]

Attributes summed
atom_atomtype        :  5.75237e+00 ; iterations: [ 5.75237e+00 ]
atom_charge          :  1.41106e+00 ; iterations: [ 1.41106e+00 ]
sbond_1_atomid       :  9.04129e-01 ; iterations: [ 9.04129e-01 ]
sbond_2_atomid       :  2.97730e-01 ; iterations: [ 2.97730e-01 ]
atom_name            :  2.39646e-01 ; iterations: [ 2.39646e-01 ]
sbond_7_atomid       :  4.33207e-02 ; iterations: [ 4.33207e-02 ]

Aggregators
count                :  4.21634e+00 ; iterations: [ 4.21634e+00 ]
projection2_mode     :  2.26877e+00 ; iterations: [ 2.26877e+00 ]
sum                  :  7.74287e-01 ; iterations: [ 7.74287e-01 ]
mode                 :  4.96945e-01 ; iterations: [ 4.96945e-01 ]
projection0_mode     :  3.53283e-01 ; iterations: [ 3.53283e-01 ]
max                  :  2.69864e-01 ; iterations: [ 2.69864e-01 ]
min                  :  2.68767e-01 ; iterations: [ 2.68767e-01 ]

