Attributes
atom_atomtype[X,Y,Y] :  4.57216e+00 ; iterations: [ 4.57216e+00 ]
atom_name[X,Y,Y]     :  1.66113e+00 ; iterations: [ 1.66113e+00 ]
atom_charge[X,Y,Y]   :  5.67420e-01 ; iterations: [ 5.67420e-01 ]
atom_charge[Y,Y,Y]   :  5.14865e-01 ; iterations: [ 5.14865e-01 ]
sbond_1_atomid[X,Y,Y]:  3.31986e-01 ; iterations: [ 3.31986e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.11186e-01 ; iterations: [ 3.11186e-01 ]
atom_atomtype[Y,Y,Y] :  2.30140e-01 ; iterations: [ 2.30140e-01 ]
sbond_2_atomid[X,Y,Y]:  2.29310e-01 ; iterations: [ 2.29310e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.46647e-01 ; iterations: [ 1.46647e-01 ]
sbond_7_atomid[Y,Y,Y]:  6.51011e-02 ; iterations: [ 6.51011e-02 ]
atom_name[Y,Y,Y]     :  3.88889e-02 ; iterations: [ 3.88889e-02 ]

Attributes summed
atom_atomtype        :  4.80230e+00 ; iterations: [ 4.80230e+00 ]
atom_name            :  1.70001e+00 ; iterations: [ 1.70001e+00 ]
atom_charge          :  1.08229e+00 ; iterations: [ 1.08229e+00 ]
sbond_1_atomid       :  6.43172e-01 ; iterations: [ 6.43172e-01 ]
sbond_2_atomid       :  3.75956e-01 ; iterations: [ 3.75956e-01 ]
sbond_7_atomid       :  6.51011e-02 ; iterations: [ 6.51011e-02 ]

Aggregators
count                :  4.09381e+00 ; iterations: [ 4.09381e+00 ]
projection2_mode     :  1.38081e+00 ; iterations: [ 1.38081e+00 ]
sum                  :  1.06349e+00 ; iterations: [ 1.06349e+00 ]
mode                 :  7.83894e-01 ; iterations: [ 7.83894e-01 ]
projection0_mode     :  4.72635e-01 ; iterations: [ 4.72635e-01 ]
min                  :  4.50735e-01 ; iterations: [ 4.50735e-01 ]
max                  :  4.23455e-01 ; iterations: [ 4.23455e-01 ]

