Attributes
atom_atomtype[X,Y,Y] :  6.40752e+00 ; iterations: [ 6.40752e+00 ]
atom_charge[X,Y,Y]   :  9.24001e-01 ; iterations: [ 9.24001e-01 ]
sbond_1_atomid[Y,Y,Y]:  7.55426e-01 ; iterations: [ 7.55426e-01 ]
atom_charge[Y,Y,Y]   :  7.20785e-01 ; iterations: [ 7.20785e-01 ]
sbond_1_atomid[X,Y,Y]:  3.65807e-01 ; iterations: [ 3.65807e-01 ]
atom_name[X,Y,Y]     :  3.32876e-01 ; iterations: [ 3.32876e-01 ]
atom_atomtype[Y,Y,Y] :  1.73474e-01 ; iterations: [ 1.73474e-01 ]
sbond_2_atomid[Y,Y,Y]:  7.60197e-02 ; iterations: [ 7.60197e-02 ]
sbond_2_atomid[X,Y,Y]:  6.73351e-02 ; iterations: [ 6.73351e-02 ]
atom_name[Y,Y,Y]     :  3.06966e-02 ; iterations: [ 3.06966e-02 ]
sbond_7_atomid[Y,Y,Y]:  1.37291e-02 ; iterations: [ 1.37291e-02 ]

Attributes summed
atom_atomtype        :  6.58099e+00 ; iterations: [ 6.58099e+00 ]
atom_charge          :  1.64479e+00 ; iterations: [ 1.64479e+00 ]
sbond_1_atomid       :  1.12123e+00 ; iterations: [ 1.12123e+00 ]
atom_name            :  3.63572e-01 ; iterations: [ 3.63572e-01 ]
sbond_2_atomid       :  1.43355e-01 ; iterations: [ 1.43355e-01 ]
sbond_7_atomid       :  1.37291e-02 ; iterations: [ 1.37291e-02 ]

Aggregators
count                :  6.25749e+00 ; iterations: [ 6.25749e+00 ]
projection2_mode     :  1.01905e+00 ; iterations: [ 1.01905e+00 ]
mode                 :  9.11685e-01 ; iterations: [ 9.11685e-01 ]
sum                  :  6.28991e-01 ; iterations: [ 6.28991e-01 ]
min                  :  4.04097e-01 ; iterations: [ 4.04097e-01 ]
max                  :  3.49973e-01 ; iterations: [ 3.49973e-01 ]
projection0_mode     :  2.96375e-01 ; iterations: [ 2.96375e-01 ]

