Attributes
atom_atomtype[X,Y,Y] :  3.85530e+00 ; iterations: [ 3.85530e+00 ]
atom_name[X,Y,Y]     :  7.92312e-01 ; iterations: [ 7.92312e-01 ]
atom_charge[X,Y,Y]   :  7.60897e-01 ; iterations: [ 7.60897e-01 ]
atom_charge[Y,Y,Y]   :  4.72039e-01 ; iterations: [ 4.72039e-01 ]
sbond_1_atomid[X,Y,Y]:  3.86164e-01 ; iterations: [ 3.86164e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.18037e-01 ; iterations: [ 2.18037e-01 ]
sbond_7_atomid[X,Y,Y]:  1.11389e-01 ; iterations: [ 1.11389e-01 ]
sbond_7_atomid[Y,Y,Y]:  7.64252e-02 ; iterations: [ 7.64252e-02 ]
atom_atomtype[Y,Y,Y] :  4.81700e-02 ; iterations: [ 4.81700e-02 ]
atom_name[Y,Y,Y]     :  3.88569e-02 ; iterations: [ 3.88569e-02 ]
sbond_1_atomid[Y,Y,Y]:  3.42104e-02 ; iterations: [ 3.42104e-02 ]
sbond_2_atomid[X,Y,Y]:  2.12382e-02 ; iterations: [ 2.12382e-02 ]

Attributes summed
atom_atomtype        :  3.90347e+00 ; iterations: [ 3.90347e+00 ]
atom_charge          :  1.23294e+00 ; iterations: [ 1.23294e+00 ]
atom_name            :  8.31169e-01 ; iterations: [ 8.31169e-01 ]
sbond_1_atomid       :  4.20374e-01 ; iterations: [ 4.20374e-01 ]
sbond_2_atomid       :  2.39275e-01 ; iterations: [ 2.39275e-01 ]
sbond_7_atomid       :  1.87814e-01 ; iterations: [ 1.87814e-01 ]

Aggregators
count                :  3.64968e+00 ; iterations: [ 3.64968e+00 ]
projection2_mode     :  1.12064e+00 ; iterations: [ 1.12064e+00 ]
mode                 :  5.84792e-01 ; iterations: [ 5.84792e-01 ]
sum                  :  5.68475e-01 ; iterations: [ 5.68475e-01 ]
max                  :  4.58814e-01 ; iterations: [ 4.58814e-01 ]
projection0_mode     :  2.74208e-01 ; iterations: [ 2.74208e-01 ]
min                  :  1.58421e-01 ; iterations: [ 1.58421e-01 ]

