Attributes
atom_atomtype[X,Y,Y] :  4.33631e+00 ; iterations: [ 4.33631e+00 ]
sbond_1_atomid[X,Y,Y]:  8.81900e-01 ; iterations: [ 8.81900e-01 ]
sbond_1_atomid[Y,Y,Y]:  8.48874e-01 ; iterations: [ 8.48874e-01 ]
atom_charge[X,Y,Y]   :  7.77645e-01 ; iterations: [ 7.77645e-01 ]
atom_charge[Y,Y,Y]   :  2.73671e-01 ; iterations: [ 2.73671e-01 ]
atom_atomtype[Y,Y,Y] :  1.77583e-01 ; iterations: [ 1.77583e-01 ]
atom_name[X,Y,Y]     :  1.48286e-01 ; iterations: [ 1.48286e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.19302e-01 ; iterations: [ 1.19302e-01 ]
sbond_2_atomid[X,Y,Y]:  6.20499e-02 ; iterations: [ 6.20499e-02 ]
atom_name[Y,Y,Y]     :  4.94152e-02 ; iterations: [ 4.94152e-02 ]
sbond_7_atomid[X,Y,Y]:  1.67791e-02 ; iterations: [ 1.67791e-02 ]
sbond_7_atomid[Y,Y,Y]:  1.41874e-02 ; iterations: [ 1.41874e-02 ]

Attributes summed
atom_atomtype        :  4.51389e+00 ; iterations: [ 4.51389e+00 ]
sbond_1_atomid       :  1.73077e+00 ; iterations: [ 1.73077e+00 ]
atom_charge          :  1.05132e+00 ; iterations: [ 1.05132e+00 ]
atom_name            :  1.97701e-01 ; iterations: [ 1.97701e-01 ]
sbond_2_atomid       :  1.81352e-01 ; iterations: [ 1.81352e-01 ]
sbond_7_atomid       :  3.09665e-02 ; iterations: [ 3.09665e-02 ]

Aggregators
count                :  4.54489e+00 ; iterations: [ 4.54489e+00 ]
sum                  :  1.28801e+00 ; iterations: [ 1.28801e+00 ]
mode                 :  6.06992e-01 ; iterations: [ 6.06992e-01 ]
min                  :  5.27278e-01 ; iterations: [ 5.27278e-01 ]
projection2_mode     :  4.82892e-01 ; iterations: [ 4.82892e-01 ]
projection0_mode     :  2.20266e-01 ; iterations: [ 2.20266e-01 ]
max                  :  3.56760e-02 ; iterations: [ 3.56760e-02 ]

