Attributes
atom_atomtype[X,Y,Y] :  4.45049e+00 ; iterations: [ 4.45049e+00 ]
atom_charge[X,Y,Y]   :  5.01658e-01 ; iterations: [ 5.01658e-01 ]
sbond_1_atomid[X,Y,Y]:  4.49289e-01 ; iterations: [ 4.49289e-01 ]
atom_atomtype[Y,Y,Y] :  4.01926e-01 ; iterations: [ 4.01926e-01 ]
atom_name[X,Y,Y]     :  3.96675e-01 ; iterations: [ 3.96675e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.92524e-01 ; iterations: [ 3.92524e-01 ]
atom_charge[Y,Y,Y]   :  3.44659e-01 ; iterations: [ 3.44659e-01 ]
sbond_2_atomid[X,Y,Y]:  2.58184e-01 ; iterations: [ 2.58184e-01 ]
sbond_2_atomid[Y,Y,Y]:  8.93199e-02 ; iterations: [ 8.93199e-02 ]
sbond_7_atomid[X,Y,Y]:  4.22450e-02 ; iterations: [ 4.22450e-02 ]
atom_name[Y,Y,Y]     :  4.04282e-02 ; iterations: [ 4.04282e-02 ]

Attributes summed
atom_atomtype        :  4.85242e+00 ; iterations: [ 4.85242e+00 ]
atom_charge          :  8.46317e-01 ; iterations: [ 8.46317e-01 ]
sbond_1_atomid       :  8.41813e-01 ; iterations: [ 8.41813e-01 ]
atom_name            :  4.37103e-01 ; iterations: [ 4.37103e-01 ]
sbond_2_atomid       :  3.47504e-01 ; iterations: [ 3.47504e-01 ]
sbond_7_atomid       :  4.22450e-02 ; iterations: [ 4.22450e-02 ]

Aggregators
count                :  3.12911e+00 ; iterations: [ 3.12911e+00 ]
projection2_mode     :  1.74704e+00 ; iterations: [ 1.74704e+00 ]
mode                 :  8.07147e-01 ; iterations: [ 8.07147e-01 ]
sum                  :  6.78482e-01 ; iterations: [ 6.78482e-01 ]
max                  :  4.92901e-01 ; iterations: [ 4.92901e-01 ]
min                  :  4.05892e-01 ; iterations: [ 4.05892e-01 ]
projection0_mode     :  1.06835e-01 ; iterations: [ 1.06835e-01 ]

