Attributes
atom_atomtype[X,Y,Y] :  3.87610e+00 ; iterations: [ 3.87610e+00 ]
atom_name[X,Y,Y]     :  9.90845e-01 ; iterations: [ 9.90845e-01 ]
atom_charge[X,Y,Y]   :  6.08355e-01 ; iterations: [ 6.08355e-01 ]
atom_charge[Y,Y,Y]   :  3.37717e-01 ; iterations: [ 3.37717e-01 ]
sbond_2_atomid[X,Y,Y]:  1.55419e-01 ; iterations: [ 1.55419e-01 ]
atom_atomtype[Y,Y,Y] :  1.55419e-01 ; iterations: [ 1.55419e-01 ]
sbond_7_atomid[X,Y,Y]:  1.22901e-01 ; iterations: [ 1.22901e-01 ]
sbond_1_atomid[X,Y,Y]:  1.03706e-01 ; iterations: [ 1.03706e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.90539e-02 ; iterations: [ 4.90539e-02 ]
atom_name[Y,Y,Y]     :  3.94306e-02 ; iterations: [ 3.94306e-02 ]

Attributes summed
atom_atomtype        :  4.03152e+00 ; iterations: [ 4.03152e+00 ]
atom_name            :  1.03028e+00 ; iterations: [ 1.03028e+00 ]
atom_charge          :  9.46072e-01 ; iterations: [ 9.46072e-01 ]
sbond_2_atomid       :  1.55419e-01 ; iterations: [ 1.55419e-01 ]
sbond_1_atomid       :  1.52760e-01 ; iterations: [ 1.52760e-01 ]
sbond_7_atomid       :  1.22901e-01 ; iterations: [ 1.22901e-01 ]

Aggregators
count                :  3.05234e+00 ; iterations: [ 3.05234e+00 ]
projection2_mode     :  1.08590e+00 ; iterations: [ 1.08590e+00 ]
sum                  :  1.00288e+00 ; iterations: [ 1.00288e+00 ]
mode                 :  5.32567e-01 ; iterations: [ 5.32567e-01 ]
min                  :  4.93737e-01 ; iterations: [ 4.93737e-01 ]
max                  :  2.42395e-01 ; iterations: [ 2.42395e-01 ]
projection0_mode     :  2.91238e-02 ; iterations: [ 2.91238e-02 ]

