Attributes
atom_atomtype[X,Y,Y] :  4.92276e+00 ; iterations: [ 4.92276e+00 ]
atom_charge[X,Y,Y]   :  1.31836e+00 ; iterations: [ 1.31836e+00 ]
atom_name[X,Y,Y]     :  6.56929e-01 ; iterations: [ 6.56929e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.40873e-01 ; iterations: [ 2.40873e-01 ]
atom_atomtype[Y,Y,Y] :  1.70355e-01 ; iterations: [ 1.70355e-01 ]
sbond_2_atomid[X,Y,Y]:  1.39220e-01 ; iterations: [ 1.39220e-01 ]
atom_charge[Y,Y,Y]   :  1.09001e-01 ; iterations: [ 1.09001e-01 ]
sbond_7_atomid[Y,Y,Y]:  9.87654e-02 ; iterations: [ 9.87654e-02 ]
sbond_1_atomid[X,Y,Y]:  9.19961e-02 ; iterations: [ 9.19961e-02 ]
sbond_2_atomid[Y,Y,Y]:  5.04702e-02 ; iterations: [ 5.04702e-02 ]
sbond_7_atomid[X,Y,Y]:  2.62966e-02 ; iterations: [ 2.62966e-02 ]

Attributes summed
atom_atomtype        :  5.09312e+00 ; iterations: [ 5.09312e+00 ]
atom_charge          :  1.42736e+00 ; iterations: [ 1.42736e+00 ]
atom_name            :  6.56929e-01 ; iterations: [ 6.56929e-01 ]
sbond_1_atomid       :  3.32869e-01 ; iterations: [ 3.32869e-01 ]
sbond_2_atomid       :  1.89691e-01 ; iterations: [ 1.89691e-01 ]
sbond_7_atomid       :  1.25062e-01 ; iterations: [ 1.25062e-01 ]

Aggregators
count                :  4.49299e+00 ; iterations: [ 4.49299e+00 ]
projection2_mode     :  1.10202e+00 ; iterations: [ 1.10202e+00 ]
sum                  :  1.03430e+00 ; iterations: [ 1.03430e+00 ]
min                  :  5.28796e-01 ; iterations: [ 5.28796e-01 ]
mode                 :  2.97951e-01 ; iterations: [ 2.97951e-01 ]
projection0_mode     :  2.02438e-01 ; iterations: [ 2.02438e-01 ]
max                  :  1.66534e-01 ; iterations: [ 1.66534e-01 ]

