Attributes
atom_atomtype[X,Y,Y] :  5.62552e+00 ; iterations: [ 5.62552e+00 ]
atom_charge[X,Y,Y]   :  1.26619e+00 ; iterations: [ 1.26619e+00 ]
atom_charge[Y,Y,Y]   :  5.25971e-01 ; iterations: [ 5.25971e-01 ]
atom_name[X,Y,Y]     :  4.86793e-01 ; iterations: [ 4.86793e-01 ]
sbond_1_atomid[X,Y,Y]:  4.24319e-01 ; iterations: [ 4.24319e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.30244e-01 ; iterations: [ 2.30244e-01 ]
sbond_2_atomid[Y,Y,Y]:  8.33333e-02 ; iterations: [ 8.33333e-02 ]
sbond_7_atomid[Y,Y,Y]:  5.76000e-02 ; iterations: [ 5.76000e-02 ]
atom_atomtype[Y,Y,Y] :  1.65581e-02 ; iterations: [ 1.65581e-02 ]
sbond_2_atomid[X,Y,Y]:  1.52075e-02 ; iterations: [ 1.52075e-02 ]
sbond_3_atomid[Y,Y,Y]:  1.44429e-02 ; iterations: [ 1.44429e-02 ]

Attributes summed
atom_atomtype        :  5.64208e+00 ; iterations: [ 5.64208e+00 ]
atom_charge          :  1.79216e+00 ; iterations: [ 1.79216e+00 ]
sbond_1_atomid       :  6.54563e-01 ; iterations: [ 6.54563e-01 ]
atom_name            :  4.86793e-01 ; iterations: [ 4.86793e-01 ]
sbond_2_atomid       :  9.85408e-02 ; iterations: [ 9.85408e-02 ]
sbond_7_atomid       :  5.76000e-02 ; iterations: [ 5.76000e-02 ]
sbond_3_atomid       :  1.44429e-02 ; iterations: [ 1.44429e-02 ]

Aggregators
count                :  5.40739e+00 ; iterations: [ 5.40739e+00 ]
sum                  :  7.67463e-01 ; iterations: [ 7.67463e-01 ]
max                  :  7.23214e-01 ; iterations: [ 7.23214e-01 ]
mode                 :  6.45547e-01 ; iterations: [ 6.45547e-01 ]
projection2_mode     :  5.42529e-01 ; iterations: [ 5.42529e-01 ]
min                  :  5.16906e-01 ; iterations: [ 5.16906e-01 ]
projection0_mode     :  1.43128e-01 ; iterations: [ 1.43128e-01 ]

