Attributes
atom_atomtype[X,Y,Y] :  4.38553e+00 ; iterations: [ 4.38553e+00 ]
atom_name[X,Y,Y]     :  8.34053e-01 ; iterations: [ 8.34053e-01 ]
atom_charge[X,Y,Y]   :  7.04596e-01 ; iterations: [ 7.04596e-01 ]
sbond_2_atomid[X,Y,Y]:  1.89270e-01 ; iterations: [ 1.89270e-01 ]
atom_atomtype[Y,Y,Y] :  1.83170e-01 ; iterations: [ 1.83170e-01 ]
sbond_1_atomid[X,Y,Y]:  1.59035e-01 ; iterations: [ 1.59035e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.26727e-01 ; iterations: [ 1.26727e-01 ]
atom_charge[Y,Y,Y]   :  1.13360e-01 ; iterations: [ 1.13360e-01 ]
atom_name[Y,Y,Y]     :  7.50701e-02 ; iterations: [ 7.50701e-02 ]
sbond_7_atomid[Y,Y,Y]:  6.63265e-02 ; iterations: [ 6.63265e-02 ]

Attributes summed
atom_atomtype        :  4.56870e+00 ; iterations: [ 4.56870e+00 ]
atom_name            :  9.09123e-01 ; iterations: [ 9.09123e-01 ]
atom_charge          :  8.17956e-01 ; iterations: [ 8.17956e-01 ]
sbond_1_atomid       :  2.85762e-01 ; iterations: [ 2.85762e-01 ]
sbond_2_atomid       :  1.89270e-01 ; iterations: [ 1.89270e-01 ]
sbond_7_atomid       :  6.63265e-02 ; iterations: [ 6.63265e-02 ]

Aggregators
count                :  3.34166e+00 ; iterations: [ 3.34166e+00 ]
projection2_mode     :  1.53023e+00 ; iterations: [ 1.53023e+00 ]
sum                  :  9.57041e-01 ; iterations: [ 9.57041e-01 ]
mode                 :  3.71600e-01 ; iterations: [ 3.71600e-01 ]
max                  :  3.08314e-01 ; iterations: [ 3.08314e-01 ]
min                  :  2.43773e-01 ; iterations: [ 2.43773e-01 ]
projection0_mode     :  8.45241e-02 ; iterations: [ 8.45241e-02 ]

