Attributes
atom_atomtype[X,Y,Y] :  4.23107e+00 ; iterations: [ 4.23107e+00 ]
atom_charge[X,Y,Y]   :  1.23771e+00 ; iterations: [ 1.23771e+00 ]
atom_name[X,Y,Y]     :  3.42597e-01 ; iterations: [ 3.42597e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.35959e-01 ; iterations: [ 2.35959e-01 ]
atom_charge[Y,Y,Y]   :  1.87132e-01 ; iterations: [ 1.87132e-01 ]
atom_name[Y,Y,Y]     :  8.89167e-02 ; iterations: [ 8.89167e-02 ]
sbond_1_atomid[X,Y,Y]:  6.45547e-02 ; iterations: [ 6.45547e-02 ]
sbond_2_atomid[X,Y,Y]:  5.22889e-02 ; iterations: [ 5.22889e-02 ]
sbond_2_atomid[Y,Y,Y]:  5.08039e-02 ; iterations: [ 5.08039e-02 ]
sbond_7_atomid[X,Y,Y]:  2.31243e-02 ; iterations: [ 2.31243e-02 ]

Attributes summed
atom_atomtype        :  4.23107e+00 ; iterations: [ 4.23107e+00 ]
atom_charge          :  1.42484e+00 ; iterations: [ 1.42484e+00 ]
atom_name            :  4.31513e-01 ; iterations: [ 4.31513e-01 ]
sbond_1_atomid       :  3.00514e-01 ; iterations: [ 3.00514e-01 ]
sbond_2_atomid       :  1.03093e-01 ; iterations: [ 1.03093e-01 ]
sbond_7_atomid       :  2.31243e-02 ; iterations: [ 2.31243e-02 ]

Aggregators
count                :  3.66452e+00 ; iterations: [ 3.66452e+00 ]
sum                  :  1.57087e+00 ; iterations: [ 1.57087e+00 ]
projection2_mode     :  4.54382e-01 ; iterations: [ 4.54382e-01 ]
min                  :  3.03013e-01 ; iterations: [ 3.03013e-01 ]
mode                 :  2.76049e-01 ; iterations: [ 2.76049e-01 ]
max                  :  1.94514e-01 ; iterations: [ 1.94514e-01 ]
projection0_mode     :  5.08039e-02 ; iterations: [ 5.08039e-02 ]

