Attributes
atom_atomtype[X,Y,Y] :  4.47077e+00 ; iterations: [ 4.47077e+00 ]
atom_charge[X,Y,Y]   :  9.02097e-01 ; iterations: [ 9.02097e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.64118e-01 ; iterations: [ 4.64118e-01 ]
sbond_2_atomid[X,Y,Y]:  3.83998e-01 ; iterations: [ 3.83998e-01 ]
atom_name[X,Y,Y]     :  2.62904e-01 ; iterations: [ 2.62904e-01 ]
atom_atomtype[Y,Y,Y] :  2.46914e-01 ; iterations: [ 2.46914e-01 ]
atom_charge[Y,Y,Y]   :  2.09263e-01 ; iterations: [ 2.09263e-01 ]
sbond_1_atomid[X,Y,Y]:  1.85858e-01 ; iterations: [ 1.85858e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.08966e-01 ; iterations: [ 1.08966e-01 ]
atom_name[Y,Y,Y]     :  8.77611e-02 ; iterations: [ 8.77611e-02 ]
sbond_7_atomid[X,Y,Y]:  3.29746e-02 ; iterations: [ 3.29746e-02 ]

Attributes summed
atom_atomtype        :  4.71768e+00 ; iterations: [ 4.71768e+00 ]
atom_charge          :  1.11136e+00 ; iterations: [ 1.11136e+00 ]
sbond_1_atomid       :  6.49977e-01 ; iterations: [ 6.49977e-01 ]
sbond_2_atomid       :  4.92965e-01 ; iterations: [ 4.92965e-01 ]
atom_name            :  3.50665e-01 ; iterations: [ 3.50665e-01 ]
sbond_7_atomid       :  3.29746e-02 ; iterations: [ 3.29746e-02 ]

Aggregators
count                :  4.53946e+00 ; iterations: [ 4.53946e+00 ]
projection2_mode     :  8.49493e-01 ; iterations: [ 8.49493e-01 ]
mode                 :  5.43937e-01 ; iterations: [ 5.43937e-01 ]
min                  :  4.87423e-01 ; iterations: [ 4.87423e-01 ]
sum                  :  4.53211e-01 ; iterations: [ 4.53211e-01 ]
max                  :  2.63756e-01 ; iterations: [ 2.63756e-01 ]
projection0_mode     :  2.18341e-01 ; iterations: [ 2.18341e-01 ]

