Attributes
atom_atomtype[X,Y,Y] :  3.43863e+00 ; iterations: [ 3.43863e+00 ]
atom_charge[X,Y,Y]   :  1.04461e+00 ; iterations: [ 1.04461e+00 ]
sbond_1_atomid[Y,Y,Y]:  4.77777e-01 ; iterations: [ 4.77777e-01 ]
atom_name[X,Y,Y]     :  4.28513e-01 ; iterations: [ 4.28513e-01 ]
sbond_1_atomid[X,Y,Y]:  2.61221e-01 ; iterations: [ 2.61221e-01 ]
atom_charge[Y,Y,Y]   :  2.35780e-01 ; iterations: [ 2.35780e-01 ]
sbond_7_atomid[X,Y,Y]:  1.38889e-01 ; iterations: [ 1.38889e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.06511e-01 ; iterations: [ 1.06511e-01 ]
sbond_2_atomid[X,Y,Y]:  5.23208e-02 ; iterations: [ 5.23208e-02 ]
sbond_7_atomid[Y,Y,Y]:  4.50221e-02 ; iterations: [ 4.50221e-02 ]
atom_atomtype[Y,Y,Y] :  3.83809e-02 ; iterations: [ 3.83809e-02 ]
sbond_3_atomid[Y,Y,Y]:  2.90249e-02 ; iterations: [ 2.90249e-02 ]

Attributes summed
atom_atomtype        :  3.47701e+00 ; iterations: [ 3.47701e+00 ]
atom_charge          :  1.28039e+00 ; iterations: [ 1.28039e+00 ]
sbond_1_atomid       :  7.38997e-01 ; iterations: [ 7.38997e-01 ]
atom_name            :  4.28513e-01 ; iterations: [ 4.28513e-01 ]
sbond_7_atomid       :  1.83911e-01 ; iterations: [ 1.83911e-01 ]
sbond_2_atomid       :  1.58832e-01 ; iterations: [ 1.58832e-01 ]
sbond_3_atomid       :  2.90249e-02 ; iterations: [ 2.90249e-02 ]

Aggregators
count                :  3.34247e+00 ; iterations: [ 3.34247e+00 ]
projection2_mode     :  8.75380e-01 ; iterations: [ 8.75380e-01 ]
min                  :  6.68899e-01 ; iterations: [ 6.68899e-01 ]
sum                  :  5.27346e-01 ; iterations: [ 5.27346e-01 ]
mode                 :  3.78802e-01 ; iterations: [ 3.78802e-01 ]
max                  :  3.07771e-01 ; iterations: [ 3.07771e-01 ]
projection0_mode     :  1.96009e-01 ; iterations: [ 1.96009e-01 ]

