Attributes
atom_atomtype[X,Y,Y] :  3.71706e+00 ; iterations: [ 3.71706e+00 ]
atom_charge[Y,Y,Y]   :  5.53237e-01 ; iterations: [ 5.53237e-01 ]
atom_name[X,Y,Y]     :  4.51795e-01 ; iterations: [ 4.51795e-01 ]
sbond_2_atomid[Y,Y,Y]:  4.10219e-01 ; iterations: [ 4.10219e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.31379e-01 ; iterations: [ 3.31379e-01 ]
atom_atomtype[Y,Y,Y] :  2.66859e-01 ; iterations: [ 2.66859e-01 ]
sbond_1_atomid[X,Y,Y]:  2.38800e-01 ; iterations: [ 2.38800e-01 ]
sbond_2_atomid[X,Y,Y]:  2.02650e-01 ; iterations: [ 2.02650e-01 ]
atom_name[Y,Y,Y]     :  1.60000e-01 ; iterations: [ 1.60000e-01 ]
atom_charge[X,Y,Y]   :  1.50152e-01 ; iterations: [ 1.50152e-01 ]
sbond_7_atomid[X,Y,Y]:  1.24021e-01 ; iterations: [ 1.24021e-01 ]

Attributes summed
atom_atomtype        :  3.98392e+00 ; iterations: [ 3.98392e+00 ]
atom_charge          :  7.03389e-01 ; iterations: [ 7.03389e-01 ]
sbond_2_atomid       :  6.12868e-01 ; iterations: [ 6.12868e-01 ]
atom_name            :  6.11795e-01 ; iterations: [ 6.11795e-01 ]
sbond_1_atomid       :  5.70179e-01 ; iterations: [ 5.70179e-01 ]
sbond_7_atomid       :  1.24021e-01 ; iterations: [ 1.24021e-01 ]

Aggregators
count                :  3.16576e+00 ; iterations: [ 3.16576e+00 ]
projection2_mode     :  9.29803e-01 ; iterations: [ 9.29803e-01 ]
mode                 :  8.83342e-01 ; iterations: [ 8.83342e-01 ]
max                  :  5.91151e-01 ; iterations: [ 5.91151e-01 ]
sum                  :  4.65543e-01 ; iterations: [ 4.65543e-01 ]
projection0_mode     :  4.07458e-01 ; iterations: [ 4.07458e-01 ]
min                  :  1.63112e-01 ; iterations: [ 1.63112e-01 ]

